Household_Number Income Lot_Size Ownership
1 60.0 18.4 Owner
2 85.5 16.8 Owner
3 64.8 21.6 Owner
4 61.5 20.8 Owner
5 87.0 23.6 Owner
6 110.1 19.2 Owner
7 108.0 17.6 Owner
8 82.8 22.4 Owner
9 69.0 20.0 Owner
10 93.0 20.8 Owner
11 51.0 22.0 Owner
12 81.0 20.0 Owner
13 75.0 19.6 Nonowner
14 52.8 20.8 Nonowner
15 64.8 17.2 Nonowner
16 43.2 20.4 Nonowner
17 84.0 17.6 Nonowner
18 49.2 17.6 Nonowner
19 59.4 16.0 Nonowner
20 66.0 18.4 Nonowner
21 47.4 16.4 Nonowner
22 33.0 18.8 Nonowner
23 51.0 14.0 Nonowner
24 63.0 14.8 Nonowner
