MaritalStatus,age,edu_status,jznx,sqjkqx,xykpjsy6m,num_card,lsyq,zsjll,zsmll,cshk,sxze,wdhj,bdfc,yqsj,yjfzhke,zwze,kzpsr,yjsr,dizhi,zhiye,yhls,susong,spsxed,yq
已婚,e,UN,h,2,0.023716527,3,has,0.5,0.7,3,0.916290732,否,是,1,6.2,5.171052016,2.2,12,y,y,3.688879454,否,11,0
已婚,m,初中以下,h,3,2.513656063,10,has,0.18,0.25,2,2.576421759,是,是,1,4.7,4.348986781,6.2,15.6,y,y,4.39222446,否,20,1
已婚,m,小学毕业,h,4,0.641853886,5,no,0.25,0.55,1,1.16315081,否,是,0,0.15,0.993251773,0.69,1.2,y,y,1.098612289,否,5,0
离异,m,UN,m,3,0.875468737,17,has,0.2,0.25,4,1.791759469,是,否,6,2.47,3.740047741,21.799,34.67,UN,y,4.018183201,否,10,0
已婚,m,UN,h,2,3.310543013,6,has,0.25,0.4,3,3.60004824,否,是,1,12.07,6.440946541,15.54,39.4,y,y,5.303304908,否,20,0
已婚,t,本科,m,2,1.808288771,9,has,0.45,0.55,5,2.549445171,否,是,1,0.9,2.028148247,0.92,2.6,UN,y,2.186051277,否,10,0
已婚,m,UN,h,2,2.442347035,7,has,0.15,0.18,3,2.610069793,否,是,1,4.4,3.912023005,1.9,8.96,UN,y,4.227881371,否,20,0
已婚,e,高中,h,2,2.111920832,5,no,0,0,1.5,3.000555622,否,是,0,0,0.631271777,0.4,1.2,y,y,0.78845736,否,4,0
离异,m,UN,h,2,0,1,has,0.15,0.17,1,0.09531018,否,否,1,1.195867052,3.647937269,0.5,2,UN,UN,4.997212274,否,10,1
已婚,t,本科,h,2,2.261763098,28,has,0.3,0.35,2,3.473828073,是,是,1,7.9,4.699570861,20.1,40,y,y,6.269986039,否,20,0
未婚,t,专科,h,4,0.431782416,4,no,0,0,0.3,2.501435952,否,否,0,0.02,0.182321557,0.21,0.3,y,y,0.285178942,否,3,0
已婚,e,UN,h,2,2.32238772,24,has,0.3,0.4,3,3.010620886,是,是,1,4.5,4.458987676,0.77,8.8,y,UN,3.266511037,否,20,0
已婚,e,小学,h,2,0.518793793,1,has,0.12,0.14,5,0.78845736,是,否,1,3.56,5.109575242,4.56,11.64,y,y,3.876847539,否,18,1
已婚,t,UN,h,2,1.360976553,3,has,0,0,0.5,1.791759469,否,是,1,0,0.91228271,0.9,1.6,y,y,0.988388113,否,4,0
已婚,m,UN,m,2,2.772588722,14,has,0.2,0.3,3,3.370738174,否,是,1,9.2,5.09681299,1.59,15.4,y,y,4.414816861,否,14,0
已婚,y,高中,h,2,0.444429378,3,no,0.53,0.6,2,0.641853886,否,是,0,1,2.43501588,0.61,2.3,y,y,1.650579856,否,8,0
离异,e,初中以下,h,3,1.358409158,4,no,0.1,0.3,2,1.589235205,否,是,0,1.25,2.803360381,0.57,2.6,y,y,3.673765816,否,10,1
已婚,e,专科,h,2,0.086177696,4,no,0,0,1,0.693147181,否,是,0,0,0,1.2,1.2,y,y,2.14645746,否,4,0
