education gender vote
0 Male agree
0 Male agree
0 Male agree
0 Male agree
0 Male disagree
0 Male disagree
1 Male agree
1 Male agree
2 Male agree
2 Male agree
2 Male agree
2 Male agree
3 Male agree
3 Male agree
3 Male agree
3 Male agree
3 Male agree
3 Male agree
3 Male disagree
3 Male disagree
3 Male disagree
4 Male agree
4 Male agree
4 Male agree
4 Male agree
4 Male agree
4 Male disagree
4 Male disagree
4 Male disagree
4 Male disagree
4 Male disagree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male agree
5 Male disagree
5 Male disagree
5 Male disagree
5 Male disagree
5 Male disagree
5 Male disagree
5 Male disagree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male agree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
6 Male disagree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male agree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
7 Male disagree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male agree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
8 Male disagree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male agree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
9 Male disagree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male agree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
10 Male disagree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male agree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
11 Male disagree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male agree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
12 Male disagree
